NUMBER,CODE,SERIAL,NAME,TYPE1,TYPE2,COLOR,ABILITY1,ABILITY2,ABILITY HIDDEN,GENERATION,LEGENDARY,MEGA_EVOLUTION,HEIGHT,WEIGHT,HP,ATK,DEF,SP_ATK,SP_DEF,SPD,TOTAL
1,1,11,Bulbasaur,Grass,Poison,Green,Overgrow,,Chrolophyll,1,0,0,0.7,6.9,45,49,49,65,65,45,318
2,1,21,Ivysaur,Grass,Poison,Green,Overgrow,,Chrolophyll,1,0,0,1,13,60,62,63,80,80,60,405
3,1,31,Venusaur,Grass,Poison,Green,Overgrow,,Chrolophyll,1,0,0,2,100,80,82,83,100,100,80,525
3,2,32,Mega Venusaur,Grass,Poison,Green,Thick Fat,,,1,0,1,2.4,155.5,80,100,123,122,120,80,625
4,1,41,Charmander,Fire,,Red,Blaze,,Solar Power,1,0,0,0.6,8.5,39,52,43,60,50,65,309
5,1,51,Charmeleon,Fire,,Red,Blaze,,Solar Power,1,0,0,1.1,19,58,64,58,80,65,80,405
6,1,61,Charizard,Fire,Flying,Red,Blaze,,Solar Power,1,0,0,1.7,90.5,78,84,78,109,85,100,534
6,2,62,Mega Charizard X,Fire,Dragon,Black,Tough Claws,,,1,0,1,1.7,110.5,78,130,111,130,85,100,634
6,3,63,Mega Charizard Y,Fire,Flying,Red,Drought,,,1,0,1,1.7,90.5,78,104,78,159,115,100,634
7,1,71,Squirtle,Water,,Blue,Torrent,,Rain Dish,1,0,0,0.5,9,44,48,65,50,64,43,314
8,1,81,Wartortle,Water,,Blue,Torrent,,Rain Dish,1,0,0,1,22.5,59,63,80,65,80,58,405
9,1,91,Blastoise,Water,,Blue,Torrent,,Rain Dish,1,0,0,1.6,85.5,79,83,100,85,105,78,530
9,2,92,Mega Blastoise,Water,,Blue,Mega Launcher,,,1,0,1,1.6,101.1,79,103,120,135,115,78,630
10,1,101,Caterpie,Bug,,Green,Shield Dust,,Run Away,1,0,0,0.3,2.9,45,30,35,20,20,45,195
11,1,111,Metapod,Bug,,Green,Shed Skin,,,1,0,0,0.7,9.9,50,20,55,25,25,30,205
12,1,121,Butterfree,Bug,Flying,White,Compound Eyes,,Tinted Lens,1,0,0,1.1,32,60,45,50,90,80,70,395
13,1,131,Weedle,Bug,Poison,Brown,Shield Dust,,Run Away,1,0,0,0.3,3.2,40,35,30,20,20,50,195
14,1,141,Kakuna,Bug,Poison,Yellow,Shed Skin,,,1,0,0,0.6,10,45,25,50,25,25,35,205
15,1,151,Beedrill,Bug,Poison,Yellow,Swarm,,Sniper,1,0,0,1,29.5,65,90,40,45,80,75,395
15,2,152,Mega Beedrill,Bug,Poison,Yellow,Adaptability,,,1,0,1,1.4,40.5,65,150,40,15,80,145,495
16,1,161,Pidgey,Normal,Flying,Brown,Keen Eye,Tangled Feet,Big Pecks,1,0,0,0.3,1.8,40,45,40,35,35,56,251
17,1,171,Pidgeotto,Normal,Flying,Brown,Keen Eye,Tangled Feet,Big Pecks,1,0,0,1.1,30,63,60,55,50,50,71,349
18,1,181,Pidgeot,Normal,Flying,Brown,Keen Eye,Tangled Feet,Big Pecks,1,0,0,1.5,39.5,83,80,75,70,70,101,479
18,2,182,Mega Pidgeot,Normal,Flying,Brown,No Guard,,,1,0,1,2.2,50.5,83,80,80,135,80,121,579
19,1,191,Rattata,Normal,,Purple,Run Away,Guts,Hustle,1,0,0,0.3,3.5,30,56,35,25,35,72,253
19,2,192,Rattata,Dark,Normal,Black,Gluttony,Hustle,Thick Fat,7,0,0,0.3,3.8,30,56,35,25,35,72,253
20,1,201,Raticate,Normal,,Brown,Run Away,Guts,Hustle,1,0,0,0.7,18.5,55,81,60,50,70,97,413
20,2,202,Raticate,Dark,Normal,Black,Gluttony,Hustle,Thick Fat,7,0,0,0.7,25.5,75,71,70,40,80,77,413
21,1,211,Spearow,Normal,Flying,Brown,Keen Eye,,Sniper,1,0,0,0.3,2,40,60,30,31,31,70,262
22,1,221,Fearow,Normal,Flying,Brown,Keen Eye,,Sniper,1,0,0,1.2,38,65,90,65,61,61,100,442
23,1,231,Ekans,Poison,,Purple,Intimidate,Shed Skin,Unnerve,1,0,0,2,6.9,35,60,44,40,54,55,288
24,1,241,Arbok,Poison,,Purple,Intimidate,Shed Skin,Unnerve,1,0,0,3.5,65,60,95,69,65,79,80,448
25,1,251,Pikachu,Electric,,Yellow,Static,,Lightning Rod,1,0,0,0.4,6,35,55,40,50,50,90,320
26,1,261,Raichu,Electric,,Yellow,Static,,Lightning Rod,1,0,0,0.8,30,60,90,55,90,80,110,485
26,2,262,Raichu,Electric,Psychic,Brown,Surge Surfer,,,7,0,0,0.7,21,60,85,50,95,85,110,485
27,1,271,Sandshrew,Ground,,Yellow,Sand Veil,,Sand Rush,1,0,0,0.6,12,50,75,85,20,30,40,300
27,2,272,Sandshrew,Ice,Steel,White,Snow Cloak,,Slush Rush,7,0,0,0.7,40,50,75,90,10,35,40,300
28,1,281,Sandslash,Ground,,Yellow,Sand Veil,,Sand Rush,1,0,0,1,29.5,75,100,110,45,55,65,450
28,2,282,Sandslash,Ice,Steel,Blue,Snow Cloak,,Slush Rush,7,0,0,1.2,55,75,100,120,25,65,65,450
29,1,291,Nidoran F,Poison,,Blue,Poison Point,Rivalry,Hustle,1,0,0,0.4,7,55,47,52,40,40,41,275
30,1,301,Nidorina,Poison,,Blue,Poison Point,Rivalry,Hustle,1,0,0,0.8,20,70,62,67,55,55,56,365
31,1,311,Nidoqueen,Poison,Ground,Blue,Poison Point,Rivalry,Sheer Force,1,0,0,1.3,60,90,92,87,75,85,76,505
32,1,321,Nidoran M,Poison,,Purple,Poison Point,Rivalry,Hustle,1,0,0,0.5,9,46,57,40,40,40,50,273
33,1,331,Nidorino,Poison,,Purple,Poison Point,Rivalry,Hustle,1,0,0,0.9,19.5,61,72,57,55,55,65,365
34,1,341,Nidoking,Poison,Ground,Purple,Poison Point,Rivalry,Sheer Force,1,0,0,1.4,62,81,102,77,85,75,85,505
35,1,351,Clefairy,Fairy,,Pink,Cute Charm,Magic Guard,Friend Guard,1,0,0,0.6,7.5,70,45,48,60,65,35,323
36,1,361,Clefable,Fairy,,Pink,Cute Charm,Magic Guard,Friend Guard,1,0,0,1.3,40,95,70,73,95,90,60,483
37,1,371,Vulpix,Fire,,Brown,Flash Fire,,Drought,1,0,0,0.6,9.9,38,41,40,50,65,65,299
37,2,372,Vulpix,Ice,,White,Snow Cloak,,Snow Warning,7,0,0,0.6,9.9,38,41,40,50,65,65,299
38,1,381,Ninetales,Fire,,Yellow,Flash Fire,,Drought,1,0,0,1.1,19.9,73,76,75,81,100,100,505
38,2,382,Ninetales,Ice,Fairy,Blue,Snow Cloak,,Snow Warning,7,0,0,1.1,19.9,73,67,75,81,100,109,505
39,1,391,Jigglypuff,Normal,Fairy,Pink,Cute Charm,Competitive,Friend Guard,1,0,0,0.5,5.5,115,45,20,45,25,20,270
40,1,401,Wigglytuff,Normal,Fairy,Pink,Cute Charm,Competitive,Friend Guard,1,0,0,1,12,140,70,45,85,50,45,435
41,1,411,Zubat,Poison,Flying,Purple,Inner Focus,,Infiltrator,1,0,0,0.8,7.5,40,45,35,30,40,55,245
42,1,421,Golbat,Poison,Flying,Purple,Inner Focus,,Infiltrator,1,0,0,1.6,55,75,80,70,65,75,90,455
43,1,431,Oddish,Grass,Poison,Blue,Chlorophyll,,Run Away,1,0,0,0.5,5.4,45,50,55,75,65,30,320
44,1,441,Gloom,Grass,Poison,Blue,Chlorophyll,,Stench,1,0,0,0.8,8.6,60,65,70,85,75,40,395
45,1,451,Vileplume,Grass,Poison,Red,Chlorophyll,,Effect Spore,1,0,0,1.2,18.6,75,80,85,110,90,50,490
46,1,461,Paras,Bug,Grass,Red,Effect Spore,Dry Skin,Damp,1,0,0,0.3,5.4,35,70,55,45,55,25,285
47,1,471,Parasect,Bug,Grass,Red,Effect Spore,Dry Skin,Damp,1,0,0,1,29.5,60,95,80,60,80,30,405
48,1,481,Venonat,Bug,Poison,Purple,Compound Eyes,Tinted Lens,Run Away,1,0,0,1,30,60,55,50,40,55,45,305
49,1,491,Venomoth,Bug,Poison,Purple,Shield Dust,Tinted Lens,Wonder Skin,1,0,0,1.5,12.5,70,65,60,90,75,90,450
50,1,501,Diglett,Ground,,Brown,Sand Veil,Arena Trap,Sand Force,1,0,0,0.2,0.8,10,55,25,35,45,95,265
50,2,502,Diglett,Ground,Steel,Brown,Sand Veil,Tangling Hair,Sand Force,7,0,0,0.2,1,10,55,30,35,45,90,265
51,1,511,Dugtrio,Ground,,Brown,Sand Veil,Arena Trap,Sand Force,1,0,0,0.7,33.3,35,100,50,50,70,120,425
51,2,512,Dugtrio,Ground,Steel,Brown,Sand Veil,Tangling Hair,Sand Force,7,0,0,0.7,66.6,35,100,60,50,70,110,425
52,1,521,Meowth,Normal,,Yellow,Pickup,Technician,Unnerve,1,0,0,0.4,4.2,40,45,35,40,40,90,290
52,2,522,Meowth,Dark,,Blue,Pickup,Technician,Rattled,7,0,0,0.4,4.2,40,35,35,50,40,90,290
52,3,523,Meowth,Steel,,Brown,Pickup,Tough Claws,Unnerve,8,0,0,0.4,7.5,50,65,55,40,40,40,290
53,1,531,Persian,Normal,,Yellow,Limber,Technician,Unnerve,1,0,0,1,32,65,70,60,65,65,115,440
53,2,532,Persian,Dark,,Blue,Fur Coat,Technician,Rattled,7,0,0,1.1,33,65,60,60,75,65,115,440
54,1,541,Psyduck,Water,,Yellow,Damp,Cloud Nine,Swift Swim,1,0,0,0.8,19.6,50,52,48,65,50,55,320
55,1,551,Golduck,Water,,Blue,Damp,Cloud Nine,Swift Swim,1,0,0,1.7,76.6,80,82,78,95,80,85,500
56,1,561,Mankey,Fighting,,Brown,Vital Spilit,Anger Point,Defiant,1,0,0,0.5,28,40,80,35,35,45,70,305
57,1,571,Primeape,Fighting,,Brown,Vital Spilit,Anger Point,Defiant,1,0,0,1,32,65,105,60,60,70,95,455
58,1,581,Growlithe,Fire,,Brown,Intimidate,Flash Fire,Justified,1,0,0,0.7,19,55,70,45,70,50,60,350
59,1,591,Arcanine,Fire,,Brown,Intimidate,Flash Fire,Justified,1,0,0,1.9,155,90,110,80,100,80,95,555
60,1,601,Poliwag,Water,,Blue,Water Absorb,Damp,Swift Swim,1,0,0,0.6,12.4,40,50,40,40,40,90,300
61,1,611,Poliwhirl,Water,,Blue,Water Absorb,Damp,Swift Swim,1,0,0,1,20,65,65,65,50,50,90,385
62,1,621,Poliwrath,Water,Fighting,Blue,Water Absorb,Damp,Swift Swim,1,0,0,1.3,54,90,95,95,70,90,70,510
63,1,631,Abra,Psychic,,Brown,Synchronize,Inner Focus,Magic guard,1,0,0,0.9,19.5,25,20,15,105,55,90,310
64,1,641,Kadabra,Psychic,,Brown,Synchronize,Inner Focus,Magic guard,1,0,0,1.3,56.5,40,35,30,120,70,105,400
65,1,651,Alakazam,Psychic,,Brown,Synchronize,Inner Focus,Magic guard,1,0,0,1.5,48,55,50,45,135,95,120,500
65,2,652,Mega Alakazam,Psychic,,Brown,Trace,,,1,0,1,1.2,48,55,50,65,175,95,150,590
66,1,661,Machop,Fighting,,Grey,Guts,No Guard,Steadfast,1,0,0,0.8,19.5,70,80,50,35,35,35,305
67,1,671,Machoke,Fighting,,Grey,Guts,No Guard,Steadfast,1,0,0,1.5,70.5,80,100,70,50,60,45,405
68,1,681,Machamp,Fighting,,Grey,Guts,No Guard,Steadfast,1,0,0,1.6,130,90,130,80,65,85,55,505
69,1,691,Bellsprout,Grass,Poison,Green,Chlorophyll,,Gluttony,1,0,0,0.7,4,50,75,35,70,30,40,300
70,1,701,Weepinbell,Grass,Poison,Green,Chlorophyll,,Gluttony,1,0,0,1,6.4,65,90,50,85,45,55,390
71,1,711,Victreebel,Grass,Poison,Green,Chlorophyll,,Gluttony,1,0,0,1.7,15.5,80,105,65,100,70,70,490
72,1,721,Tentacool,Water,Poison,Blue,Clear Body,Liquid Ooze,Rain dish,1,0,0,0.9,45.5,40,40,35,50,100,70,335
73,1,731,Tentacruel,Water,Poison,Blue,Clear Body,Liquid Ooze,Rain dish,1,0,0,1.6,55,80,70,65,80,120,100,515
74,1,741,Geodude,Rock,Ground,Brown,Rock Head,Sturdy,Sand Veil,1,0,0,0.4,20,40,80,100,30,30,20,300
74,2,742,Geodude,Rock,Electric,Grey,Magnet Pull,Sturdy,Galvanize,7,0,0,0.4,20.3,40,80,100,30,30,20,300
75,1,751,Graveler,Rock,Ground,Brown,Rock Head,Sturdy,Sand Veil,1,0,0,1,105,55,95,115,45,45,35,390
75,2,752,Graveler,Rock,Electric,Grey,Magnet Pull,Sturdy,Galvanize,7,0,0,1,110,55,95,115,45,45,35,390
76,1,761,Golem,Rock,Ground,Brown,Rock Head,Sturdy,Sand Veil,1,0,0,1.4,300,80,120,130,55,65,45,495
76,2,762,Golem,Rock,Electric,Grey,Magnet Pull,Sturdy,Galvanize,7,0,0,1.7,316,80,120,130,55,65,45,495
77,1,771,Ponyta,Fire,,Yellow,Run Away,Flash Fire,Flame Body,1,0,0,1,30,50,85,55,65,65,90,410
77,2,772,Ponyta,Psychic,,White,Run Away,Pastel Veil,Anticipation,8,0,0,0.8,24,50,85,55,65,65,90,410
78,1,781,Rapidash,Fire,,Yellow,Run Away,Flash Fire,Flame Body,1,0,0,1.7,95,65,100,70,80,80,105,500
78,2,782,Rapidash,Psychic,Fairy,White,Run Away,Pastel Veil,Anticipation,8,0,0,1.7,80,65,100,70,80,80,105,500
79,1,791,Slowpoke,Water,Psychic,Pink,Oblivious,Own Tempo,Regenerator,1,0,0,1.2,36,90,65,65,40,40,15,315
79,2,792,Slowpoke,Psychic,,Pink,Gluttony,Own Tempo,Regenerator,8,0,0,1.2,36,90,65,65,40,40,15,315
80,1,801,Slowbro,Water,Psychic,Pink,Oblivious,Own Tempo,Regenerator,1,0,0,1.6,78.5,95,75,110,100,80,30,490
80,2,802,Slowbro,Poison,Psychic,Pink,Quick Draw,Own Tempo,Regenerator,8,0,0,1.6,70.5,95,100,95,100,70,30,490
80,3,803,Mega Slowbro,Water,Psychic,Pink,Shell Armor,,,1,0,1,2,120,95,75,180,130,80,30,590
81,1,811,Magnemite,Electric,Steel,Grey,Magnet Pull,Sturdy,Analytic,1,0,0,0.3,6,25,35,70,95,55,45,325
82,1,821,Magneton,Electric,Steel,Grey,Magnet Pull,Sturdy,Analytic,1,0,0,1,60,50,60,95,120,70,70,465
83,1,831,Farfetch'd,Normal,Flying,Brown,Keen Eye,Inner Focus,Defiant,1,0,0,0.8,15,52,90,55,58,62,60,377
83,2,832,Farfetch'd,Fighting,,Brown,Steadfast,,Scrappy,8,0,0,0.8,42,52,95,55,58,62,55,377
84,1,841,Doduo,Normal,Flying,Brown,Run Away,Early Bird,Tangled Feet,1,0,0,1.4,39.2,35,85,45,35,35,75,310
85,1,851,Dodrio,Normal,Flying,Brown,Run Away,Early Bird,Tangled Feet,1,0,0,1.8,85.2,60,110,70,60,60,110,470
86,1,861,Seel,Water,,White,Thick Fat,Hydration,Ice Body,1,0,0,1.1,90,65,45,55,45,70,45,325
87,1,871,Dewgong,Water,Ice,White,Thick Fat,Hydration,Ice Body,1,0,0,1.7,120,90,70,80,70,95,70,475
88,1,881,Grimer,Poison,,Purple,Stench,Sticky Hold,Poison Touch,1,0,0,0.9,30,80,80,50,40,50,25,325
